user_id,top_ordered_item,avg_cart_item_count,preferred_category,order_party_type,user_region,restaurant_cuisine_type,restaurant_item_popularity,cart_total_value,cart_item_count,cart_cuisine_type,meal_time_segment,day_of_week_type,occasion_type,seasonal_preference,user_item_affinity,item_cooccurrence_score,user_category_affinity,item_price_tier,dietary_type,label_addon_added
78,Gulab Jamun,1,Desserts,solo,South_Delhi,South_Indian,0.204,423,2,Desserts,dinner,weekday,none,summer,0.405,5,0.671,low,veg,1
105,Nachos,1,Fast_Food,solo,Gurgaon,South_Indian,0.184,467,2,Fast_Food,breakfast,weekday,none,summer,0.198,2,0.514,low,veg,0
34,Spring Roll,4,Chinese,group,Gurgaon,Desserts,0.167,338,1,Chinese,dinner,weekend,none,monsoon,0.602,1,0.321,medium,veg,1
107,Ice Cream,3,Desserts,group,West_Delhi,Desserts,0.645,356,1,Desserts,lunch,weekday,none,summer,0.189,2,0.314,low,dairy,0
12,Hakka Noodles,3,Chinese,group,West_Delhi,Fast_Food,0.374,328,1,Chinese,dinner,weekend,none,monsoon,0.413,0,0.604,low,veg,0
0,Pepsi,1,Beverages,solo,South_Delhi,Desserts,0.441,381,2,Beverages,breakfast,weekend,anniversary,summer,0.443,1,0.705,low,egg,0
176,Manchurian,2,Chinese,solo,Navi_Mumbai,Desserts,0.345,502,3,Chinese,lunch,weekday,festival,monsoon,0.612,0,0.743,low,egg,0
178,Burger,3,Fast_Food,group,Navi_Mumbai,Chinese,0.295,440,2,Fast_Food,lunch,weekday,none,summer,0.521,2,0.69,medium,egg,0
24,Gulab Jamun,2,Desserts,solo,South_Delhi,South_Indian,0.136,350,1,Desserts,lunch,weekday,none,winter,0.291,2,0.402,high,veg,0
46,Cheesy Dip,1,Fast_Food,solo,Gurgaon,Fast_Food,0.56,420,2,Fast_Food,lunch,weekday,none,winter,0.346,0,0.662,low,nonveg,0
83,Roti,1,North_Indian,solo,Navi_Mumbai,Beverages,0.474,377,2,North_Indian,lunch,weekday,none,summer,0.178,5,0.768,low,veg,1
107,Choco Lava Cake,3,Desserts,group,West_Delhi,Fast_Food,0.259,357,2,Desserts,dinner,weekday,none,winter,0.253,3,0.547,medium,nonveg,0
156,Kheer,2,Desserts,solo,Navi_Mumbai,Chinese,0.106,437,1,Desserts,breakfast,weekday,none,monsoon,0.167,3,0.823,medium,veg,0
118,Choco Lava Cake,3,Desserts,group,Noida,North_Indian,0.418,315,1,Desserts,breakfast,weekend,festival,summer,0.326,1,0.232,low,nonveg,0
152,Pepsi,1,Beverages,solo,Navi_Mumbai,North_Indian,0.395,485,3,Beverages,dinner,weekday,none,winter,0.317,1,0.824,medium,veg,0
22,Dosa,1,South_Indian,solo,South_Delhi,North_Indian,0.089,414,2,South_Indian,dinner,weekend,festival,monsoon,0.59,0,0.25,low,veg,1
27,Lassi,2,Beverages,solo,Navi_Mumbai,Chinese,0.267,571,4,Beverages,lunch,weekend,none,monsoon,0.133,1,0.756,low,veg,0
163,Choco Lava Cake,2,Desserts,solo,West_Delhi,North_Indian,0.267,515,4,Desserts,dinner,weekday,none,winter,0.129,3,0.502,medium,veg,0
158,Rasgulla,1,Desserts,solo,South_Delhi,Beverages,0.368,336,1,Desserts,lunch,weekday,none,summer,0.35,3,0.2,low,nonveg,0
188,Sambar,2,South_Indian,solo,South_Delhi,Fast_Food,0.386,509,3,South_Indian,lunch,weekday,none,winter,0.314,0,0.67,high,veg,1
162,Fried Rice,2,Chinese,solo,South_Delhi,North_Indian,0.265,605,4,Chinese,dinner,weekday,none,winter,0.766,5,0.513,low,veg,1
8,Paneer Tikka,2,North_Indian,solo,West_Delhi,South_Indian,0.1,437,2,North_Indian,dinner,weekday,none,summer,0.631,5,0.639,high,veg,0
96,Idli,2,South_Indian,solo,Navi_Mumbai,Fast_Food,0.178,548,3,South_Indian,breakfast,weekend,none,monsoon,0.29,6,0.272,medium,nonveg,0
111,Roti,1,North_Indian,solo,South_Delhi,Chinese,0.409,348,2,North_Indian,lunch,weekend,none,winter,0.126,3,0.305,high,nonveg,0
180,Vada,1,South_Indian,solo,West_Delhi,Fast_Food,0.214,264,1,South_Indian,lunch,weekend,none,winter,0.373,0,0.209,medium,veg,1
112,Fries,3,Fast_Food,group,Gurgaon,Beverages,0.282,490,3,Fast_Food,dinner,weekday,none,monsoon,0.382,4,0.379,medium,veg,1
112,Garlic Bread,3,Fast_Food,group,Gurgaon,Beverages,0.096,360,1,Fast_Food,lunch,weekday,none,monsoon,0.128,6,0.662,low,dairy,1
171,Paneer Tikka,1,North_Indian,solo,Gurgaon,Fast_Food,0.229,561,4,North_Indian,lunch,weekend,none,summer,0.238,0,0.378,low,egg,0
60,Brownie,1,Desserts,solo,Noida,North_Indian,0.272,320,1,Desserts,lunch,weekend,festival,monsoon,0.354,0,0.457,low,veg,0
5,Fries,1,Fast_Food,solo,Navi_Mumbai,Fast_Food,0.176,366,2,Fast_Food,dinner,weekday,none,summer,0.256,1,0.622,medium,dairy,0
193,Upma,2,South_Indian,solo,Navi_Mumbai,Chinese,0.174,370,2,South_Indian,lunch,weekday,none,winter,0.174,3,0.667,low,veg,1
131,Choco Lava Cake,1,Desserts,solo,Noida,South_Indian,0.3,291,1,Desserts,snacks,weekend,festival,winter,0.372,12,0.364,high,nonveg,1
193,Upma,2,South_Indian,solo,Navi_Mumbai,Desserts,0.626,354,2,South_Indian,breakfast,weekday,festival,summer,0.378,11,0.541,low,nonveg,0
89,Garlic Bread,2,Fast_Food,solo,West_Delhi,Desserts,0.471,338,1,Fast_Food,dinner,weekday,none,summer,0.281,0,0.383,low,veg,0
107,Brownie,3,Desserts,group,West_Delhi,Fast_Food,0.278,349,2,Desserts,dinner,weekday,none,monsoon,0.505,1,0.35,low,veg,0
80,Milkshake,3,Beverages,group,Navi_Mumbai,Fast_Food,0.024,335,2,Beverages,lunch,weekday,festival,monsoon,0.378,7,0.661,medium,veg,0
133,Papad,1,North_Indian,solo,Gurgaon,Desserts,0.484,519,3,North_Indian,lunch,weekend,none,monsoon,0.546,8,0.213,low,veg,1
76,Cold Coffee,3,Beverages,group,Gurgaon,Beverages,0.128,370,2,Beverages,lunch,weekday,none,monsoon,0.406,1,0.61,low,nonveg,0
15,Salad,1,North_Indian,solo,Noida,North_Indian,0.716,269,1,North_Indian,dinner,weekday,none,winter,0.185,15,0.789,low,veg,1
179,Dal Makhani,1,North_Indian,solo,Navi_Mumbai,Fast_Food,0.191,490,4,North_Indian,lunch,weekday,none,monsoon,0.463,4,0.18,low,veg,0
30,Fries,2,Fast_Food,solo,West_Delhi,Desserts,0.161,371,1,Fast_Food,dinner,weekday,none,winter,0.466,1,0.072,medium,veg,0
68,Choco Lava Cake,1,Desserts,solo,Gurgaon,Fast_Food,0.069,629,4,Desserts,dinner,weekday,festival,monsoon,0.249,0,0.558,high,veg,0
122,Lassi,1,Beverages,solo,Noida,Desserts,0.299,471,2,Beverages,dinner,weekday,none,winter,0.199,0,0.188,low,veg,0
161,Cold Coffee,2,Beverages,solo,West_Delhi,Chinese,0.312,434,2,Beverages,snacks,weekend,none,winter,0.615,2,0.15,low,dairy,0
158,Ice Cream,1,Desserts,solo,South_Delhi,Beverages,0.282,262,1,Desserts,snacks,weekday,none,winter,0.201,1,0.321,low,veg,0
57,Chilli Paneer,1,Chinese,solo,Navi_Mumbai,North_Indian,0.091,495,3,Chinese,lunch,weekday,none,summer,0.167,1,0.663,low,dairy,0
8,Dal Makhani,2,North_Indian,solo,West_Delhi,Beverages,0.256,423,3,North_Indian,lunch,weekday,none,winter,0.153,1,0.792,medium,dairy,1
174,Fried Rice,2,Chinese,solo,Gurgaon,Desserts,0.095,303,1,Chinese,snacks,weekend,none,monsoon,0.661,1,0.587,low,veg,0
31,Vada,1,South_Indian,solo,South_Delhi,Chinese,0.332,298,1,South_Indian,dinner,weekend,none,monsoon,0.521,9,0.737,medium,veg,1
1,Cheesy Dip,4,Fast_Food,group,Gurgaon,Fast_Food,0.375,611,4,Fast_Food,dinner,weekday,none,winter,0.191,5,0.609,low,veg,1
116,Paneer Tikka,3,North_Indian,group,Navi_Mumbai,North_Indian,0.517,298,1,North_Indian,lunch,weekend,none,winter,0.512,0,0.343,high,veg,1
131,Kheer,1,Desserts,solo,Noida,Desserts,0.055,311,1,Desserts,dinner,weekend,birthday,monsoon,0.244,0,0.372,low,dairy,0
181,Vada,1,South_Indian,solo,South_Delhi,Chinese,0.112,558,4,South_Indian,breakfast,weekday,none,winter,0.516,1,0.57,low,veg,0
81,Ice Cream,2,Desserts,solo,West_Delhi,Beverages,0.201,570,4,Desserts,snacks,weekend,none,summer,0.211,2,0.462,low,dairy,0
101,Chilli Paneer,2,Chinese,solo,Gurgaon,Chinese,0.076,346,1,Chinese,dinner,weekend,none,monsoon,0.066,0,0.302,high,veg,1
147,Pepsi,2,Beverages,solo,Navi_Mumbai,Beverages,0.139,551,4,Beverages,dinner,weekend,none,summer,0.076,0,0.732,low,veg,1
24,Brownie,2,Desserts,solo,South_Delhi,Desserts,0.204,447,3,Desserts,dinner,weekday,none,monsoon,0.178,4,0.658,medium,dairy,1
113,Nachos,3,Fast_Food,group,Navi_Mumbai,Desserts,0.402,372,2,Fast_Food,dinner,weekday,birthday,winter,0.41,0,0.75,medium,veg,1
135,Pizza,1,Fast_Food,solo,Noida,North_Indian,0.298,491,3,Fast_Food,lunch,weekday,none,monsoon,0.584,8,0.746,high,veg,1
119,Paneer Tikka,2,North_Indian,solo,Noida,North_Indian,0.167,278,1,North_Indian,breakfast,weekday,none,summer,0.288,0,0.395,medium,egg,0
2,Roti,2,North_Indian,solo,West_Delhi,Fast_Food,0.68,459,3,North_Indian,dinner,weekday,none,summer,0.349,2,0.649,high,veg,1
81,Rasgulla,2,Desserts,solo,West_Delhi,Chinese,0.287,344,1,Desserts,lunch,weekday,none,monsoon,0.333,1,0.073,low,veg,0
3,Papad,2,North_Indian,solo,South_Delhi,Fast_Food,0.245,311,1,North_Indian,snacks,weekday,none,winter,0.387,8,0.487,low,egg,1
193,Sambar,2,South_Indian,solo,Navi_Mumbai,Beverages,0.535,427,2,South_Indian,snacks,weekday,birthday,monsoon,0.495,8,0.418,medium,nonveg,1
13,Fried Rice,1,Chinese,solo,Navi_Mumbai,Beverages,0.572,419,2,Chinese,dinner,weekday,none,monsoon,0.4,0,0.829,low,nonveg,0
127,Garlic Bread,3,Fast_Food,group,Noida,Chinese,0.188,499,3,Fast_Food,lunch,weekday,none,winter,0.486,5,0.707,medium,veg,1
140,Fried Rice,4,Chinese,group,Noida,North_Indian,0.26,477,3,Chinese,lunch,weekday,none,monsoon,0.663,1,0.194,high,veg,0
171,Salad,1,North_Indian,solo,Gurgaon,Fast_Food,0.173,315,1,North_Indian,lunch,weekend,none,summer,0.383,2,0.589,low,veg,1
174,Spring Roll,2,Chinese,solo,Gurgaon,North_Indian,0.231,425,1,Chinese,lunch,weekday,none,summer,0.363,4,0.48,low,veg,1
84,Choco Lava Cake,1,Desserts,solo,South_Delhi,Desserts,0.342,507,3,Desserts,lunch,weekday,festival,winter,0.096,3,0.525,low,nonveg,1
82,Biryani,1,North_Indian,solo,Gurgaon,Desserts,0.537,433,2,North_Indian,snacks,weekday,none,summer,0.257,0,0.726,medium,nonveg,0
10,Cheesy Dip,1,Fast_Food,solo,Navi_Mumbai,Fast_Food,0.129,448,3,Fast_Food,dinner,weekend,festival,winter,0.328,2,0.345,medium,nonveg,0
105,Burger,1,Fast_Food,solo,Gurgaon,Chinese,0.104,264,1,Fast_Food,lunch,weekend,none,monsoon,0.105,1,0.685,medium,veg,0
