Restaurant_Name,Delivery_Rating,Cuisine,Place_Name,City,Item_Name,Best_Seller,Prices,Average_Rating,Is_Bestseller,Restaurant_Popularity,Is_Highly_Rated,Is_Expensive
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Platter Kebab Combo,BESTSELLER,249,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Rumali Shawarma,BESTSELLER,129,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Tandoori Salad,NONE,189,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken BBQ Salad,BESTSELLER,189,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Special Doner Wrap Combo,MUST TRY,205,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Tandoori Pizza [8 inches],BESTSELLER,199,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Special Zinger Tortilla Wrap,CHEF'S SPECIAL,165,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Popcorn [20 Pieces],BESTSELLER,165,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Tandoori Sandwich,NONE,115,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Bread Samoli Shawarma,NONE,129,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Fish Platter [Boneless Indian Basa],NONE,295,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Special Platter Kebab Combo,BESTSELLER,279,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Doner Kebab,MUST TRY,159,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Shawarma,MUST TRY,129,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,French Fries + Coke [220 ml],NONE,199,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Platter Kebab Combo,BESTSELLER,249,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Special Platter Kebab Combo,BESTSELLER,279,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Special Kebab Wrap Combo,BESTSELLER,205,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Special Doner Wrap Combo,CHEF'S SPECIAL,205,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Tandoori Salad,NONE,189,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken BBQ Salad,BESTSELLER,189,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Fish Platter [Boneless Indian Basa],NONE,295,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Doner Kebab,CHEF'S SPECIAL,159,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Veg Pizza [8 inches],NONE,169,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Sweet Corn Pizza [8 inches],NONE,175,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Classic Pizza [8 inches],NONE,199,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Barbeque Pizza [8 inches],NONE,199,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Tandoori Pizza [8 inches],BESTSELLER,199,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Barbeque Burger,NONE,115,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Tandoori Burger,NONE,115,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Zinger Burger,NONE,125,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Cheese Veg Sandwich,NONE,105,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Grilled Veg Sandwich,NONE,105,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Barbeque Sandwich,NONE,115,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Tandoori Sandwich,NONE,115,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Double Decker Sandwich,NONE,145,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Special Zinger Tortilla Wrap,CHEF'S SPECIAL,165,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Special Fish Tortilla Wrap,CHEF'S SPECIAL,165,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Kebab Wrap,NONE,159,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Rumali Shawarma,BESTSELLER,129,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Bread Samoli Shawarma,NONE,129,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Shawarma,NONE,129,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Nuggets [6 Pieces],NONE,115,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Chicken Popcorn [20 Pieces],BESTSELLER,165,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,Veg Bread Samoli,NONE,105,4.05,1,46,1,0
Doner King,4.2,Fast Food,Malakpet, Hyderabad,French Fries,NONE,175,4.05,1,46,1,0
Taco Bell,3.7,Wraps,The Next Galleria Mall, Hyderabad,Naked Chicken Taco,BESTSELLER,249,4,1,97,1,0
Taco Bell,3.7,Wraps,The Next Galleria Mall, Hyderabad,Big Bell Box - Veg,BESTSELLER,299,4,1,97,1,0
Taco Bell,3.7,Wraps,The Next Galleria Mall, Hyderabad,Big Bell Box - Non Veg,BESTSELLER,349,4,1,97,1,1
Taco Bell,3.7,Wraps,The Next Galleria Mall, Hyderabad,7 Layer Burrito - Non veg,BESTSELLER,279,4,1,97,1,0
Taco Bell,3.7,Wraps,The Next Galleria Mall, Hyderabad,Soft Taco Mexican Paneer,BESTSELLER,119,4,1,97,1,0
Taco Bell,3.7,Wraps,The Next Galleria Mall, Hyderabad,Churro Bombs,NONE,109,4,1,97,1,0
Taco Bell,3.7,Wraps,The Next Galleria Mall, Hyderabad,Crunchy Taco Pinto Bean,NONE,109,4,1,97,1,0
Taco Bell,3.7,Wraps,The Next Galleria Mall, Hyderabad,Cheesy Fries,BESTSELLER,129,4,1,97,1,0
Taco Bell,3.7,Wraps,The Next Galleria Mall, Hyderabad,7 Layer Burrito - Veg,NONE,259,4,1,97,1,0
Taco Bell,3.7,Wraps,The Next Galleria Mall, Hyderabad,Ultimate Rice Bowl - Non Veg,BESTSELLER,209,4,1,97,1,0
Taco Bell,3.7,Wraps,The Next Galleria Mall, Hyderabad,Naked Chicken Nachos,BESTSELLER,189,4,1,97,1,0
Taco Bell,3.7,Wraps,The Next Galleria Mall, Hyderabad,Crunchy Taco Mexican Chicken,NONE,119,4,1,97,1,0
Taco Bell,3.7,Wraps,The Next Galleria Mall, Hyderabad,Naked Chicken Taco Meal,BESTSELLER,378,4,1,97,1,1
Taco Bell,3.7,Wraps,The Next Galleria Mall, Hyderabad,Ultimate Rice Bowl - Veg,BESTSELLER,189,4,1,97,1,0
Taco Bell,3.7,Wraps,The Next Galleria Mall, Hyderabad,Churros & Chocolate Regular,BESTSELLER,109,4,1,97,1,0
